route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
1140,505_1_20260419,114__0__417__TZM__505__1__505__1_20260419,Trentham,0,,[@356.0.42935130@]2_20260419,,2,417
1110,507_2_20260419,111__0__131__TZM__507__2__507__2_20260419,Totara Park,0,,[@364.0.17527741@]3_20260419,,2,131
70,108_6_20260419,7__0__223__TZM__108__6__108__6_20260419,Kingston,0,,[@364.0.17528115@]2_20260419,,2,223
26,Rail BRT - Sun Full (KPT)_20260419,KPT__0__815__TZM__Rail_BRT_-_Sun_Full_(KPT)_20260419,Waikanae,0,,[@12.0.66437544@]15_20260419,,2,815
9,CCL Sa_20260419,CCL__0__5490__WCCL__CCL_Sa_20260419,Kelburn - Cable Car Station,0,,[@6.0.98043685@]CCL:859#24732#24734_20260419,,2,5490
210,34_1_20260419,21__1__710__NBM__34__1__34__1_20260419,Courtenay Place,1,,[@12.0.12465631@]1_20260419,,2,710
290,216_1_20260419,29__1__722__TZM__216__1__216__1_20260419,Wellington Station,1,,[@12.0.62382921@]1_20260419,,2,722
1200,421_20260419,120__1__136__TZM__421__421_20260419,Lower Hutt,1,,[@364.0.17527449@]2_20260419,,2,136
2260,310_2_20260419,226__0__153__TZM__310__2__310__2_20260419,Sievers Grove,0,,[@356.0.45924848@]4_20260419,,2,153
2500,117_20260419,250__0__715__UZM__117__117_20260419,Paraparaumu Station,0,,[@368.0.46830109@]1_20260419,,2,715
1300,406_20260419,130__1__754__TZM__406__406_20260419,Petone,1,,[@364.0.17527495@]1_20260419,,2,754
40,40_5_20260419,4__0__169__NBM__40__5__40__5_20260419,Strathmore Park,0,,[@12.0.9098835@]1_20260419,,2,169
320,127_20260419,32x__0__103__TZM__127__127_20260419,Houghton Bay,0,,[@364.0.17528214@]2_20260419,,2,103
2620,117_20260419,262__0__711__UZM__117__117_20260419,Paraparaumu Beach,0,,[@368.0.46830157@]1_20260419,,2,711
210,210_4_20260419,21__0__205__NBM__210__4__210__4_20260419,Wrights Hill,0,,[@12.0.12465631@]2_20260419,,2,205
24,Rail BRT - Weekday PM (WLG-POR) 2_20260419,KPN__1__767__NBM__Rail_BRT_-_Weekday_PM_(WLG-POR)_2_20260419,WELL-All stops,1,,[@12.0.66437452@]3_20260419,,2,767
9,CCL MTuWThF-XHol_20260419,CCL__0__1590__WCCL__CCL_MTuWThF-XHol_20260419,Kelburn - Cable Car Station,0,,[@6.0.98043685@]CCL:859#24732#24734_20260419,,2,1590
26,Rail BRT - Sun Full (KPT)_20260419,KPT__1__512__TZM__Rail_BRT_-_Sun_Full_(KPT)_20260419,WELL-Non stop,1,,[@12.0.66437544@]9_20260419,,2,512
8,EBW MTuWThF-XHol_20260419,QDF__0__1450__EBYW__EBW_MTuWThF-XHol_20260419,Days Bay Wharf,0,,[@12.0.35033512@]2_20260419,,2,1450
1600,406_1_20260419,160__1__406__TZM__406__1__406__1_20260419,Lower Hutt,1,,[@356.0.42935312@]160:541#17580#17616_20260419,,2,406
1100,430_20260419,110__0__175__TZM__430__430_20260419,Emerald Hill,0,,[@356.0.42935074@]3_20260419,,2,175
2620,117_20260419,262__1__706__UZM__117__117_20260419,Paraparaumu Station,1,,[@368.0.46830157@]2_20260419,,2,706
2360,322_4_20260419,236__0__121__TZM__322__4__322__4_20260419,Whitby Navigation Drive,0,,[@368.0.24016932@]6_20260419,,2,121
70,111_2_20260419,7__1__710__TZM__111__2__111__2_20260419,Wellington Station,1,,[@364.0.17528115@]1_20260419,,2,710
2360,302_2_20260419,236__0__705__TZM__302__2__302__2_20260419,Whitby Navigation Drive,0,,[@368.0.24016932@]236:670#21452#21487_20260419,,2,705
6160,407_4_20260419,616__0__101__NBM__407__4__407__4_20260419,School Bus,0,,[@368.0.53451941@]3_20260419,,2,101
20,103_2_20260419,2__0__349__NBM__103__2__103__2_20260419,Karori,0,,[@12.0.11838882@]5_20260419,,2,349
250,150_2_20260419,25__0__175__TZM__150__2__150__2_20260419,Khandallah,0,,[@6.0.22281071@]1_20260419,,2,175
2610,4013_1_20260419,261__1__104__UZM__4013__1__4013__1_20260419,Paraparaumu Station,1,,[@368.0.46830146@]3_20260419,,2,104
1500,431_20260419,150__1__110__TZM__431__431_20260419,Petone,1,,[@6.0.21845698@]2_20260419,,2,110
210,27_5_20260419,21__0__105__NBM__27__5__27__5_20260419,Wrights Hill,0,,[@12.0.12465631@]2_20260419,,2,105
9,CCL MTuWThF-XHol_20260419,CCL__1__1920__WCCL__CCL_MTuWThF-XHol_20260419,Lambton Quay - Cable Car Station,1,,[@6.0.98043685@]CCL:857#24726#24728_20260419,,2,1920
830,306_5_20260419,83__0__437__NBM__306__5__306__5_20260419,Eastbourne,0,,[@12.0.9096837@]83:382#12651#12715_20260419,,2,437
220,205_3_20260419,22__0__172__NBM__205__3__205__3_20260419,Victoria University of Wellington - Kelburn,0,,[@368.0.53453009@]8_20260419,,2,172
2200,301_20260419,220__1__706__TZM__301__301_20260419,Ascot Park,1,,[@356.0.45924825@]5_20260419,,2,706
1210,407_2_20260419,121__1__418__TZM__407__2__407__2_20260419,Seaview,1,,[@356.0.42934812@]2_20260419,,2,418
520,3061_1_20260419,52__0__117__MNM__3061__1__3061__1_20260419,,0,,[@12.0.19667519@]2_20260419,,2,117
6230,213_4_20260419,623__0__101__NBM__213__4__213__4_20260419,School Bus,0,,[@12.0.11836423@]3_20260419,,2,101
9,CCL Sa_20260419,CCL__0__5850__WCCL__CCL_Sa_20260419,Kelburn - Cable Car Station,0,,[@6.0.98043685@]CCL:859#24732#24734_20260419,,2,5850
1200,438_20260419,120__0__207__TZM__438__438_20260419,Stokes Valley,0,,[@364.0.17527449@]1_20260419,,2,207
380,57_20260419,38x__1__104__NBM__57__57_20260419,Molesworth Street,1,,[@12.0.11838871@]38_20260419,,2,104
1300,411_2_20260419,130__0__103__TZM__411__2__411__2_20260419,Naenae,0,,[@364.0.17527495@]2_20260419,,2,103
70,119_20260419,7__0__743__TZM__119__119_20260419,Kingston,0,,[@364.0.17528115@]2_20260419,,2,743
1700,610_1_20260419,170__0__129__TZM__610__1__610__1_20260419,Lower Hutt,0,,[@356.0.42935339@]170:564#18381#18436_20260419,,2,129
7,7082_1_20260419,AX__1__690__MNM__7082__1__7082__1_20260419,Airport,1,,[@366.0.7673003@]2_20260419,,2,690
2610,4013_1_20260419,261__1__136__UZM__4013__1__4013__1_20260419,Paraparaumu Station,1,,[@368.0.46830146@]2_20260419,,2,136
9918,4_4_20260419,N8__1__102__NBM__4__4__4__4_20260419,Wellington Station,1,,[@356.0.30313519@]N8:14#617#639_20260419,,2,102
26,Rail BRT - Sun Full (KPT)_20260419,KPT__0__525__TZM__Rail_BRT_-_Sun_Full_(KPT)_20260419,WELL-Non stop,0,,[@12.0.66437544@]7_20260419,,2,525
1110,506_1_20260419,111__0__437__TZM__506__1__506__1_20260419,Totara Park,0,,[@364.0.17527741@]3_20260419,,2,437
2620,112_20260419,262__1__702__UZM__112__112_20260419,Paraparaumu Station,1,,[@368.0.46830157@]2_20260419,,2,702
240,227_20260419,24__0__147__TZM__227__227_20260419,Broadmeadows,0,,[@364.0.17528180@]6_20260419,,2,147
290,116_1_20260419,29__1__710__TZM__116__1__116__1_20260419,Wellington Station,1,,[@12.0.62382921@]1_20260419,,2,710
5,Rail MTuWThF-XHol_20260419,HVL__1__2623__RAIL__Rail_MTuWThF-XHol_20260419,Wellington,1,,[@6.0.20608367@]HVL:783#24101#24116_20260419,,2,2623
40,3_4_20260419,4__0__725__NBM__3__4__3__4_20260419,Strathmore Park,0,,[@12.0.9098835@]1_20260419,,2,725
8660,608_20260419,866__0__101__TZM__608__608_20260419,School Bus,0,,[@6.0.22109447@]866:1211#29928#29947_20260419,,2,101
830,4_5_20260419,83__1__410__NBM__4__5__4__5_20260419,Courtenay Place,1,,[@12.0.9096837@]83:378#12562#12628_20260419,,2,410
26,Rail BRT - Sun Full (KPT)_20260419,KPT__0__531__TZM__Rail_BRT_-_Sun_Full_(KPT)_20260419,WELL-Non stop,0,,[@12.0.66437544@]7_20260419,,2,531
9,CCL Sa_20260419,CCL__1__5260__WCCL__CCL_Sa_20260419,Lambton Quay - Cable Car Station,1,,[@6.0.98043685@]CCL:857#24726#24728_20260419,,2,5260
7,8082_1_20260419,AX__0__885__MNM__8082__1__8082__1_20260419,Wellington Station,0,,[@366.0.7673003@]1_20260419,,2,885
570,3102_20260419,57__0__117__MNM__3102__3102_20260419,,0,,[@12.0.19667553@]2_20260419,,2,117
20,18_1_20260419,2__0__783__NBM__18__1__18__1_20260419,Karori,0,,[@12.0.11838882@]5_20260419,,2,783
7,8092_1_20260419,AX__1__904__MNM__8092__1__8092__1_20260419,Airport,1,,[@366.0.7673003@]2_20260419,,2,904
10,201_20260419,1__1__712__TZM__201__201_20260419,Island Bay,1,,[@368.0.18996598@]1_20260419,,2,712
1300,402_1_20260419,130__1__458__TZM__402__1__402__1_20260419,Petone,1,,[@364.0.17527495@]1_20260419,,2,458
330,65_1_20260419,33__0__119__NBM__65__1__65__1_20260419,Karori South,0,,[@12.0.11836197@]7_20260419,,2,119
1100,509_20260419,110__1__406__TZM__509__509_20260419,Petone,1,,[@356.0.42935074@]81537888_20260419,,2,406
20,13_5_20260419,2__1__302__NBM__13__5__13__5_20260419,Seatoun,1,,[@12.0.11838882@]2_20260419,,2,302
70,109_2_20260419,7__1__470__TZM__109__2__109__2_20260419,Wellington Station,1,,[@364.0.17528115@]1_20260419,,2,470
40,8_2_20260419,4__1__406__NBM__8__2__8__2_20260419,Mairangi,1,,[@12.0.9098835@]2_20260419,,2,406
2360,305_2_20260419,236__0__423__TZM__305__2__305__2_20260419,Whitby Navigation Drive,0,,[@368.0.24016932@]236:670#21452#21487_20260419,,2,423
20,1_7_20260419,2__0__843__NBM__1__7__1__7_20260419,Karori,0,,[@12.0.11838882@]5_20260419,,2,843
6670,4_6_20260419,667__0__101__NBM__4__6__4__6_20260419,School Bus,0,,[@12.0.11836448@]2_20260419,,2,101
270,219_20260419,27__1__422__TZM__219__219_20260419,Wellington Station,1,,[@360.0.75333692@]1_20260419,,2,422
20,19_1_20260419,2__0__465__NBM__19__1__19__1_20260419,Karori,0,,[@12.0.11838882@]1_20260419,,2,465
2200,318_1_20260419,220__1__192__TZM__318__1__318__1_20260419,Ascot Park,1,,[@356.0.45924825@]2_20260419,,2,192
5,Rail SaSu + Hol_20260419,HVL__0__3860__RAIL__Rail_SaSu_+_Hol_20260419,Upper Hutt,0,,[@6.0.20608367@]HVL:793#24218#24233_20260419,,2,3860
