service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3201_20260419,0,0,0,0,0,0,0,20260419,20260523
515_20260419,0,0,0,0,0,0,0,20260419,20260523
402_20260419,0,0,0,0,0,0,0,20260419,20260523
412_4_20260419,0,0,0,0,0,0,0,20260419,20260523
1052_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8062_1_20260419,0,0,0,0,0,0,0,20260419,20260523
309_8_20260419,0,0,0,0,0,0,0,20260419,20260523
401_3_20260419,0,0,0,0,0,0,0,20260419,20260523
316_6_20260419,0,0,0,0,0,0,0,20260419,20260523
109_2_20260419,0,0,0,0,0,0,0,20260419,20260523
601_2_20260419,0,0,0,0,0,0,0,20260419,20260523
425_20260419,0,0,0,0,0,0,0,20260419,20260523
406_5_20260419,0,0,0,0,0,0,0,20260419,20260523
3271_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3041_1_20260419,0,0,0,0,0,0,0,20260419,20260523
44_2_20260419,0,0,0,0,0,0,0,20260419,20260523
412_7_20260419,0,0,0,0,0,0,0,20260419,20260523
404_1_20260419,0,0,0,0,0,0,0,20260419,20260523
19_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun Full (HVL)_20260419,0,0,0,0,0,0,0,20260419,20260523
2041_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8051_1_20260419,0,0,0,0,0,0,0,20260419,20260523
2031_1_20260419,0,0,0,0,0,0,0,20260419,20260523
105_4_20260419,0,0,0,0,0,0,0,20260419,20260523
22_5_20260419,0,0,0,0,0,0,0,20260419,20260523
36_3_20260419,0,0,0,0,0,0,0,20260419,20260523
3231_3_20260419,0,0,0,0,0,0,0,20260419,20260523
419_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun Full (KPN)_20260419,0,0,0,0,0,0,0,20260419,20260523
506_20260419,0,0,0,0,0,0,0,20260419,20260523
104_3_20260419,0,0,0,0,0,0,0,20260419,20260523
CCL MTuWThF-XHol_20260419,0,0,0,0,0,0,0,20260419,20260523
45_2_20260419,0,0,0,0,0,0,0,20260419,20260523
432_20260419,0,0,0,0,0,0,0,20260419,20260523
19_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8101_1_20260419,0,0,0,0,0,0,0,20260419,20260523
136_20260419,0,0,0,0,0,0,0,20260419,20260523
5021_1_20260419,0,0,0,0,0,0,0,20260419,20260523
7042_1_20260419,0,0,0,0,0,0,0,20260419,20260523
109_1_20260419,0,0,0,0,0,0,0,20260419,20260523
517_20260419,0,0,0,0,0,0,0,20260419,20260523
115_4_20260419,0,0,0,0,0,0,0,20260419,20260523
2081_1_20260419,0,0,0,0,0,0,0,20260419,20260523
218_2_20260419,0,0,0,0,0,0,0,20260419,20260523
513_20260419,0,0,0,0,0,0,0,20260419,20260523
8021_1_20260419,0,0,0,0,0,0,0,20260419,20260523
6012_1_20260419,0,0,0,0,0,0,0,20260419,20260523
212_20260419,0,0,0,0,0,0,0,20260419,20260523
514_3_20260419,0,0,0,0,0,0,0,20260419,20260523
4022_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3_5_20260419,0,0,0,0,0,0,0,20260419,20260523
6102_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4117_1_20260419,0,0,0,0,0,0,0,20260419,20260523
602_1_20260419,0,0,0,0,0,0,0,20260419,20260523
503_1_20260419,0,0,0,0,0,0,0,20260419,20260523
55_20260419,0,0,0,0,0,0,0,20260419,20260523
105_1_20260419,0,0,0,0,0,0,0,20260419,20260523
404_2_20260419,0,0,0,0,0,0,0,20260419,20260523
323_20260419,0,0,0,0,0,0,0,20260419,20260523
603_6_20260419,0,0,0,0,0,0,0,20260419,20260523
6052_1_20260419,0,0,0,0,0,0,0,20260419,20260523
605_1_20260419,0,0,0,0,0,0,0,20260419,20260523
410_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3071_1_20260419,0,0,0,0,0,0,0,20260419,20260523
306_5_20260419,0,0,0,0,0,0,0,20260419,20260523
119_1_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail MTuWThF-XHol_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun PM (WLG-PAE)_20260419,0,0,0,0,0,0,0,20260419,20260523
207_5_20260419,0,0,0,0,0,0,0,20260419,20260523
4062_1_20260419,0,0,0,0,0,0,0,20260419,20260523
310_2_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Weekday PM (WEL-PET) (HVL)_20260419,0,0,0,0,0,0,0,20260419,20260523
29_5_20260419,0,0,0,0,0,0,0,20260419,20260523
4041_1_20260419,0,0,0,0,0,0,0,20260419,20260523
613_20260419,0,0,0,0,0,0,0,20260419,20260523
4021_2_20260419,0,0,0,0,0,0,0,20260419,20260523
216_1_20260419,0,0,0,0,0,0,0,20260419,20260523
67_20260419,0,0,0,0,0,0,0,20260419,20260523
8032_1_20260419,0,0,0,0,0,0,0,20260419,20260523
7092_1_20260419,0,0,0,0,0,0,0,20260419,20260523
1002_2_20260419,0,0,0,0,0,0,0,20260419,20260523
25_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4028_1_20260419,0,0,0,0,0,0,0,20260419,20260523
75_20260419,0,0,0,0,0,0,0,20260419,20260523
415_20260419,0,0,0,0,0,0,0,20260419,20260523
215_5_20260419,0,0,0,0,0,0,0,20260419,20260523
203_20260419,0,0,0,0,0,0,0,20260419,20260523
33_3_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun Full (JVL)_20260419,0,0,0,0,0,0,0,20260419,20260523
404_20260419,0,0,0,0,0,0,0,20260419,20260523
233_20260419,0,0,0,0,0,0,0,20260419,20260523
310_3_20260419,0,0,0,0,0,0,0,20260419,20260523
302_4_20260419,0,0,0,0,0,0,0,20260419,20260523
610_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8_1_20260419,0,0,0,0,0,0,0,20260419,20260523
2082_1_20260419,0,0,0,0,0,0,0,20260419,20260523
520_1_20260419,0,0,0,0,0,0,0,20260419,20260523
304_7_20260419,0,0,0,0,0,0,0,20260419,20260523
61_20260419,0,0,0,0,0,0,0,20260419,20260523
8091_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8052_1_20260419,0,0,0,0,0,0,0,20260419,20260523
208_20260419,0,0,0,0,0,0,0,20260419,20260523
112_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4030_1_20260419,0,0,0,0,0,0,0,20260419,20260523
302_5_20260419,0,0,0,0,0,0,0,20260419,20260523
528_3_20260419,0,0,0,0,0,0,0,20260419,20260523
308_10_20260419,0,0,0,0,0,0,0,20260419,20260523
614_20260419,0,0,0,0,0,0,0,20260419,20260523
309_4_20260419,0,0,0,0,0,0,0,20260419,20260523
5022_1_20260419,0,0,0,0,0,0,0,20260419,20260523
1012_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3171_1_20260419,0,0,0,0,0,0,0,20260419,20260523
46_2_20260419,0,0,0,0,0,0,0,20260419,20260523
306_4_20260419,0,0,0,0,0,0,0,20260419,20260523
326_20260419,0,0,0,0,0,0,0,20260419,20260523
439_1_20260419,0,0,0,0,0,0,0,20260419,20260523
118_3_20260419,0,0,0,0,0,0,0,20260419,20260523
13_5_20260419,0,0,0,0,0,0,0,20260419,20260523
209_1_20260419,0,0,0,0,0,0,0,20260419,20260523
311_20260419,0,0,0,0,0,0,0,20260419,20260523
20_2_20260419,0,0,0,0,0,0,0,20260419,20260523
104_20260419,0,0,0,0,0,0,0,20260419,20260523
304_8_20260419,0,0,0,0,0,0,0,20260419,20260523
7011_1_20260419,0,0,0,0,0,0,0,20260419,20260523
111_8_20260419,0,0,0,0,0,0,0,20260419,20260523
1011_1_20260419,0,0,0,0,0,0,0,20260419,20260523
311_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3121_1_20260419,0,0,0,0,0,0,0,20260419,20260523
2102_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4035_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3101_20260419,0,0,0,0,0,0,0,20260419,20260523
32_2_20260419,0,0,0,0,0,0,0,20260419,20260523
4010_1_20260419,0,0,0,0,0,0,0,20260419,20260523
119_20260419,0,0,0,0,0,0,0,20260419,20260523
302_8_20260419,0,0,0,0,0,0,0,20260419,20260523
4032_1_20260419,0,0,0,0,0,0,0,20260419,20260523
86_1_20260419,0,0,0,0,0,0,0,20260419,20260523
319_20260419,0,0,0,0,0,0,0,20260419,20260523
2112_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3152_1_20260419,0,0,0,0,0,0,0,20260419,20260523
41_2_20260419,0,0,0,0,0,0,0,20260419,20260523
304_2_20260419,0,0,0,0,0,0,0,20260419,20260523
308_5_20260419,0,0,0,0,0,0,0,20260419,20260523
102_20260419,0,0,0,0,0,0,0,20260419,20260523
210_1_20260419,0,0,0,0,0,0,0,20260419,20260523
95_1_20260419,0,0,0,0,0,0,0,20260419,20260523
106_20260419,0,0,0,0,0,0,0,20260419,20260523
106_2_20260419,0,0,0,0,0,0,0,20260419,20260523
1_7_20260419,0,0,0,0,0,0,0,20260419,20260523
524_1_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Weekday PM (WLG-PAE)_20260419,0,0,0,0,0,0,0,20260419,20260523
33_1_20260419,0,0,0,0,0,0,0,20260419,20260523
426_20260419,0,0,0,0,0,0,0,20260419,20260523
21_5_20260419,0,0,0,0,0,0,0,20260419,20260523
227_20260419,0,0,0,0,0,0,0,20260419,20260523
709_1_20260419,0,0,0,0,0,0,0,20260419,20260523
48_1_20260419,0,0,0,0,0,0,0,20260419,20260523
45_5_20260419,0,0,0,0,0,0,0,20260419,20260523
106_3_20260419,0,0,0,0,0,0,0,20260419,20260523
3042_20260419,0,0,0,0,0,0,0,20260419,20260523
4054_1_20260419,0,0,0,0,0,0,0,20260419,20260523
108_3_20260419,0,0,0,0,0,0,0,20260419,20260523
35_20260419,0,0,0,0,0,0,0,20260419,20260523
4061_1_20260419,0,0,0,0,0,0,0,20260419,20260523
215_4_20260419,0,0,0,0,0,0,0,20260419,20260523
201_20260419,0,0,0,0,0,0,0,20260419,20260523
502_3_20260419,0,0,0,0,0,0,0,20260419,20260523
313_1_20260419,0,0,0,0,0,0,0,20260419,20260523
8031_3_20260419,0,0,0,0,0,0,0,20260419,20260523
16_2_20260419,0,0,0,0,0,0,0,20260419,20260523
201_4_20260419,0,0,0,0,0,0,0,20260419,20260523
407_3_20260419,0,0,0,0,0,0,0,20260419,20260523
104_4_20260419,0,0,0,0,0,0,0,20260419,20260523
312_5_20260419,0,0,0,0,0,0,0,20260419,20260523
1061_1_20260419,0,0,0,0,0,0,0,20260419,20260523
15_5_20260419,0,0,0,0,0,0,0,20260419,20260523
109_3_20260419,0,0,0,0,0,0,0,20260419,20260523
2131_1_20260419,0,0,0,0,0,0,0,20260419,20260523
6061_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4066_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3142_1_20260419,0,0,0,0,0,0,0,20260419,20260523
310_11_20260419,0,0,0,0,0,0,0,20260419,20260523
43_1_20260419,0,0,0,0,0,0,0,20260419,20260523
76_1_20260419,0,0,0,0,0,0,0,20260419,20260523
7_1_20260419,0,0,0,0,0,0,0,20260419,20260523
402_1_20260419,0,0,0,0,0,0,0,20260419,20260523
405_20260419,0,0,0,0,0,0,0,20260419,20260523
513_1_20260419,0,0,0,0,0,0,0,20260419,20260523
713_1_20260419,0,0,0,0,0,0,0,20260419,20260523
501_2_20260419,0,0,0,0,0,0,0,20260419,20260523
2032_1_20260419,0,0,0,0,0,0,0,20260419,20260523
718_1_20260419,0,0,0,0,0,0,0,20260419,20260523
48_5_20260419,0,0,0,0,0,0,0,20260419,20260523
22_2_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun+Hol (WEL-PET) (HVL)_20260419,0,0,0,0,0,0,0,20260419,20260523
4075_1_20260419,0,0,0,0,0,0,0,20260419,20260523
Rail BRT - Sun Full (KPT)_20260419,0,0,0,0,0,0,0,20260419,20260523
6072_1_20260419,0,0,0,0,0,0,0,20260419,20260523
710_1_20260419,0,0,0,0,0,0,0,20260419,20260523
3141_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4052_1_20260419,0,0,0,0,0,0,0,20260419,20260523
114_2_20260419,0,0,0,0,0,0,0,20260419,20260523
71_1_20260419,0,0,0,0,0,0,0,20260419,20260523
4085_1_20260419,0,0,0,0,0,0,0,20260419,20260523
224_20260419,0,0,0,0,0,0,0,20260419,20260523
104_2_20260419,0,0,0,0,0,0,0,20260419,20260523
110_1_20260419,0,0,0,0,0,0,0,20260419,20260523
611_2_20260419,0,0,0,0,0,0,0,20260419,20260523
208_1_20260419,0,0,0,0,0,0,0,20260419,20260523
5_5_20260419,0,0,0,0,0,0,0,20260419,20260523
144_20260419,0,0,0,0,0,0,0,20260419,20260523
8012_1_20260419,0,0,0,0,0,0,0,20260419,20260523
1001_20260419,0,0,0,0,0,0,0,20260419,20260523
103_5_20260419,0,0,0,0,0,0,0,20260419,20260523
5012_1_20260419,0,0,0,0,0,0,0,20260419,20260523
213_3_20260419,0,0,0,0,0,0,0,20260419,20260523
TuTh-XHol_20260419,0,0,0,0,0,0,0,20260419,20260523
750_1_20260419,0,0,0,0,0,0,0,20260419,20260523
212_3_20260419,0,0,0,0,0,0,0,20260419,20260523
9_5_20260419,0,0,0,0,0,0,0,20260419,20260523
31_2_20260419,0,0,0,0,0,0,0,20260419,20260523
14_5_20260419,0,0,0,0,0,0,0,20260419,20260523
504_2_20260419,0,0,0,0,0,0,0,20260419,20260523
409_2_20260419,0,0,0,0,0,0,0,20260419,20260523
307_2_20260419,0,0,0,0,0,0,0,20260419,20260523
437_20260419,0,0,0,0,0,0,0,20260419,20260523
207_1_20260419,0,0,0,0,0,0,0,20260419,20260523
6161_1_20260419,0,0,0,0,0,0,0,20260419,20260523
30_3_20260419,0,0,0,0,0,0,0,20260419,20260523
218_1_20260419,0,0,0,0,0,0,0,20260419,20260523
201_2_20260419,0,0,0,0,0,0,0,20260419,20260523
603_20260419,0,0,0,0,0,0,0,20260419,20260523
5032_1_20260419,0,0,0,0,0,0,0,20260419,20260523
213_20260419,0,0,0,0,0,0,0,20260419,20260523
101_2_20260419,0,0,0,0,0,0,0,20260419,20260523
5042_1_20260419,0,0,0,0,0,0,0,20260419,20260523
149_20260419,0,0,0,0,0,0,0,20260419,20260523
120_20260419,0,0,0,0,0,0,0,20260419,20260523
324_2_20260419,0,0,0,0,0,0,0,20260419,20260523
201_1_20260419,0,0,0,0,0,0,0,20260419,20260523
6081_1_20260419,0,0,0,0,0,0,0,20260419,20260523
