service_id,date,exception_type
6011_1_20260419,20260420,1
6011_1_20260419,20260421,1
6011_1_20260419,20260422,1
6011_1_20260419,20260423,1
6011_1_20260419,20260424,1
6011_1_20260419,20260428,1
6011_1_20260419,20260429,1
6011_1_20260419,20260430,1
6011_1_20260419,20260501,1
6011_1_20260419,20260504,1
6011_1_20260419,20260505,1
6011_1_20260419,20260506,1
6011_1_20260419,20260507,1
6011_1_20260419,20260508,1
6011_1_20260419,20260511,1
6011_1_20260419,20260512,1
6011_1_20260419,20260513,1
6011_1_20260419,20260514,1
6011_1_20260419,20260515,1
6011_1_20260419,20260518,1
6011_1_20260419,20260519,1
6011_1_20260419,20260520,1
6011_1_20260419,20260521,1
6011_1_20260419,20260522,1
1051_1_20260419,20260419,1
1051_1_20260419,20260426,1
1051_1_20260419,20260427,1
1051_1_20260419,20260503,1
1051_1_20260419,20260510,1
1051_1_20260419,20260517,1
316_6_20260419,20260420,1
316_6_20260419,20260422,1
316_6_20260419,20260429,1
316_6_20260419,20260504,1
316_6_20260419,20260506,1
316_6_20260419,20260511,1
316_6_20260419,20260513,1
316_6_20260419,20260518,1
316_6_20260419,20260520,1
438_3_20260419,20260420,1
438_3_20260419,20260421,1
438_3_20260419,20260422,1
438_3_20260419,20260423,1
438_3_20260419,20260428,1
438_3_20260419,20260429,1
438_3_20260419,20260430,1
438_3_20260419,20260504,1
438_3_20260419,20260505,1
438_3_20260419,20260506,1
438_3_20260419,20260507,1
438_3_20260419,20260511,1
438_3_20260419,20260512,1
438_3_20260419,20260513,1
438_3_20260419,20260514,1
438_3_20260419,20260518,1
438_3_20260419,20260519,1
438_3_20260419,20260520,1
438_3_20260419,20260521,1
2092_20260419,20260425,1
2092_20260419,20260502,1
2092_20260419,20260509,1
2092_20260419,20260516,1
2092_20260419,20260523,1
4008_1_20260419,20260420,1
4008_1_20260419,20260421,1
4008_1_20260419,20260422,1
4008_1_20260419,20260423,1
4008_1_20260419,20260424,1
4008_1_20260419,20260428,1
4008_1_20260419,20260429,1
4008_1_20260419,20260430,1
4008_1_20260419,20260501,1
4008_1_20260419,20260504,1
4008_1_20260419,20260505,1
4008_1_20260419,20260506,1
4008_1_20260419,20260507,1
4008_1_20260419,20260508,1
4008_1_20260419,20260511,1
4008_1_20260419,20260512,1
4008_1_20260419,20260513,1
4008_1_20260419,20260514,1
4008_1_20260419,20260515,1
4008_1_20260419,20260518,1
4008_1_20260419,20260519,1
4008_1_20260419,20260520,1
4008_1_20260419,20260521,1
4008_1_20260419,20260522,1
30_3_20260419,20260419,1
30_3_20260419,20260426,1
30_3_20260419,20260427,1
30_3_20260419,20260503,1
30_3_20260419,20260510,1
30_3_20260419,20260517,1
603_5_20260419,20260420,1
603_5_20260419,20260421,1
603_5_20260419,20260422,1
603_5_20260419,20260423,1
603_5_20260419,20260424,1
603_5_20260419,20260428,1
603_5_20260419,20260429,1
603_5_20260419,20260430,1
603_5_20260419,20260501,1
603_5_20260419,20260504,1
603_5_20260419,20260505,1
603_5_20260419,20260506,1
603_5_20260419,20260507,1
603_5_20260419,20260508,1
603_5_20260419,20260511,1
603_5_20260419,20260512,1
603_5_20260419,20260513,1
603_5_20260419,20260514,1
603_5_20260419,20260515,1
603_5_20260419,20260518,1
603_5_20260419,20260519,1
603_5_20260419,20260520,1
603_5_20260419,20260521,1
603_5_20260419,20260522,1
Rail F-XHol_20260419,20260424,1
Rail F-XHol_20260419,20260501,1
Rail F-XHol_20260419,20260508,1
Rail F-XHol_20260419,20260515,1
Rail F-XHol_20260419,20260522,1
404_20260419,20260419,1
404_20260419,20260426,1
404_20260419,20260427,1
404_20260419,20260503,1
404_20260419,20260510,1
404_20260419,20260517,1
219_1_20260419,20260420,1
219_1_20260419,20260421,1
219_1_20260419,20260422,1
219_1_20260419,20260423,1
219_1_20260419,20260424,1
219_1_20260419,20260428,1
219_1_20260419,20260429,1
219_1_20260419,20260430,1
219_1_20260419,20260501,1
219_1_20260419,20260504,1
219_1_20260419,20260505,1
219_1_20260419,20260506,1
219_1_20260419,20260507,1
219_1_20260419,20260508,1
219_1_20260419,20260511,1
219_1_20260419,20260512,1
219_1_20260419,20260513,1
219_1_20260419,20260514,1
219_1_20260419,20260515,1
219_1_20260419,20260518,1
219_1_20260419,20260519,1
219_1_20260419,20260520,1
219_1_20260419,20260521,1
219_1_20260419,20260522,1
8082_1_20260419,20260419,1
8082_1_20260419,20260426,1
8082_1_20260419,20260427,1
8082_1_20260419,20260503,1
8082_1_20260419,20260510,1
8082_1_20260419,20260517,1
TuTh-XHol_20260419,20260421,1
TuTh-XHol_20260419,20260423,1
TuTh-XHol_20260419,20260428,1
TuTh-XHol_20260419,20260430,1
TuTh-XHol_20260419,20260505,1
TuTh-XHol_20260419,20260507,1
TuTh-XHol_20260419,20260512,1
TuTh-XHol_20260419,20260514,1
TuTh-XHol_20260419,20260519,1
TuTh-XHol_20260419,20260521,1
Rail SaSu + Hol_20260419,20260419,1
Rail SaSu + Hol_20260419,20260425,1
Rail SaSu + Hol_20260419,20260426,1
Rail SaSu + Hol_20260419,20260427,1
Rail SaSu + Hol_20260419,20260502,1
Rail SaSu + Hol_20260419,20260503,1
Rail SaSu + Hol_20260419,20260509,1
Rail SaSu + Hol_20260419,20260510,1
Rail SaSu + Hol_20260419,20260516,1
Rail SaSu + Hol_20260419,20260517,1
Rail SaSu + Hol_20260419,20260523,1
1012_1_20260419,20260419,1
1012_1_20260419,20260426,1
1012_1_20260419,20260427,1
1012_1_20260419,20260503,1
1012_1_20260419,20260510,1
1012_1_20260419,20260517,1
30_4_20260419,20260425,1
30_4_20260419,20260502,1
30_4_20260419,20260509,1
30_4_20260419,20260516,1
30_4_20260419,20260523,1
82_20260419,20260420,1
82_20260419,20260421,1
82_20260419,20260422,1
82_20260419,20260423,1
82_20260419,20260424,1
82_20260419,20260428,1
82_20260419,20260429,1
82_20260419,20260430,1
82_20260419,20260501,1
82_20260419,20260504,1
82_20260419,20260505,1
82_20260419,20260506,1
82_20260419,20260507,1
82_20260419,20260508,1
82_20260419,20260511,1
82_20260419,20260512,1
82_20260419,20260513,1
82_20260419,20260514,1
82_20260419,20260515,1
82_20260419,20260518,1
82_20260419,20260519,1
82_20260419,20260520,1
82_20260419,20260521,1
82_20260419,20260522,1
94_1_20260419,20260420,1
94_1_20260419,20260421,1
94_1_20260419,20260422,1
94_1_20260419,20260423,1
94_1_20260419,20260424,1
94_1_20260419,20260428,1
94_1_20260419,20260429,1
94_1_20260419,20260430,1
94_1_20260419,20260501,1
94_1_20260419,20260504,1
94_1_20260419,20260505,1
94_1_20260419,20260506,1
94_1_20260419,20260507,1
94_1_20260419,20260508,1
94_1_20260419,20260511,1
94_1_20260419,20260512,1
94_1_20260419,20260513,1
94_1_20260419,20260514,1
94_1_20260419,20260515,1
94_1_20260419,20260518,1
94_1_20260419,20260519,1
94_1_20260419,20260520,1
94_1_20260419,20260521,1
94_1_20260419,20260522,1
4_4_20260419,20260419,1
4_4_20260419,20260426,1
4_4_20260419,20260503,1
4_4_20260419,20260510,1
4_4_20260419,20260517,1
207_1_20260419,20260425,1
207_1_20260419,20260502,1
207_1_20260419,20260509,1
207_1_20260419,20260516,1
207_1_20260419,20260523,1
2131_1_20260419,20260425,1
2131_1_20260419,20260502,1
2131_1_20260419,20260509,1
2131_1_20260419,20260516,1
2131_1_20260419,20260523,1
403_2_20260419,20260425,1
403_2_20260419,20260502,1
403_2_20260419,20260509,1
403_2_20260419,20260516,1
403_2_20260419,20260523,1
8061_1_20260419,20260419,1
8061_1_20260419,20260426,1
8061_1_20260419,20260427,1
8061_1_20260419,20260503,1
8061_1_20260419,20260510,1
8061_1_20260419,20260517,1
4060_1_20260419,20260420,1
4060_1_20260419,20260421,1
4060_1_20260419,20260422,1
4060_1_20260419,20260424,1
4060_1_20260419,20260428,1
4060_1_20260419,20260429,1
4060_1_20260419,20260501,1
4060_1_20260419,20260504,1
4060_1_20260419,20260505,1
4060_1_20260419,20260506,1
4060_1_20260419,20260508,1
4060_1_20260419,20260511,1
4060_1_20260419,20260512,1
4060_1_20260419,20260513,1
4060_1_20260419,20260515,1
