stop_pattern_id,stop_id,stop_sequence,timepoint
445_0_20260419,2005,9,0
445_0_20260419,2001,10,1
616_0_20260419,5311,0,1
616_0_20260419,4113,1,1
616_0_20260419,5312,2,0
616_0_20260419,5313,3,0
616_0_20260419,5315,4,0
616_0_20260419,5316,5,0
616_0_20260419,5317,6,0
616_0_20260419,5318,7,0
616_0_20260419,5319,8,1
616_0_20260419,5320,9,0
616_0_20260419,5321,10,0
616_0_20260419,5322,11,0
616_0_20260419,5323,12,0
616_0_20260419,5324,13,0
616_0_20260419,5325,14,0
616_0_20260419,5327,15,0
616_0_20260419,5328,16,0
616_0_20260419,5329,17,0
616_0_20260419,5330,18,0
616_0_20260419,5332,19,1
290_0_20260419,1002,0,1
290_0_20260419,1100,1,0
290_0_20260419,1501,2,1
290_0_20260419,1596,3,0
290_0_20260419,1702,4,0
290_0_20260419,1705,5,0
290_0_20260419,1708,6,0
290_0_20260419,1710,7,1
290_0_20260419,1712,8,0
290_0_20260419,1714,9,0
290_0_20260419,1716,10,1
290_0_20260419,1718,11,0
290_0_20260419,1720,12,0
290_0_20260419,1722,13,0
290_0_20260419,1724,14,0
290_0_20260419,1726,15,1
290_0_20260419,1728,16,0
290_0_20260419,1729,17,0
290_0_20260419,1731,18,0
290_0_20260419,1733,19,0
290_0_20260419,1735,20,0
290_0_20260419,1730,21,1
290_0_20260419,1765,22,1
290_0_20260419,1759,23,0
290_0_20260419,1738,24,0
290_0_20260419,1740,25,0
290_0_20260419,1742,26,0
290_0_20260419,1744,27,0
290_0_20260419,1746,28,0
290_0_20260419,1748,29,0
290_0_20260419,1750,30,1
290_0_20260419,1751,31,0
290_0_20260419,1754,32,0
290_0_20260419,1755,33,0
290_0_20260419,1756,34,0
290_0_20260419,1758,35,0
290_0_20260419,1760,36,0
290_0_20260419,1762,37,0
290_0_20260419,1732,38,1
290_0_20260419,1734,39,0
290_0_20260419,1736,40,0
290_0_20260419,1737,41,0
290_0_20260419,1741,42,0
290_0_20260419,1743,43,0
290_0_20260419,1730,44,1
290_0_20260419,1768,45,0
290_0_20260419,1770,46,0
290_0_20260419,1772,47,0
290_0_20260419,1712,48,0
290_0_20260419,1714,49,1
290_0_20260419,1716,50,0
290_0_20260419,1718,51,0
290_0_20260419,1720,52,0
290_0_20260419,1722,53,0
290_0_20260419,1774,54,1
290_0_20260419,1776,55,0
290_0_20260419,1782,56,0
290_0_20260419,1785,57,0
290_0_20260419,1501,58,1
290_0_20260419,1001,59,1
290_0_20260419,1002,60,1
313_1_20260419,1820,0,1
313_1_20260419,1822,1,0
313_1_20260419,1825,2,0
313_1_20260419,0004,3,0
313_1_20260419,1827,4,0
313_1_20260419,1830,5,1
313_1_20260419,1831,6,0
313_1_20260419,1832,7,0
313_1_20260419,1833,8,0
313_1_20260419,1834,9,0
313_1_20260419,1835,10,0
313_1_20260419,1836,11,0
313_1_20260419,1837,12,0
313_1_20260419,1838,13,0
313_1_20260419,1839,14,0
313_1_20260419,1828,15,0
313_1_20260419,0005,16,0
313_1_20260419,1840,17,0
313_1_20260419,1841,18,0
313_1_20260419,1842,19,0
313_1_20260419,1843,20,0
313_1_20260419,1844,21,1
313_1_20260419,1880,22,0
313_1_20260419,1881,23,1
313_0_20260419,1881,0,1
313_0_20260419,1962,1,0
313_0_20260419,1941,2,0
313_0_20260419,1940,3,0
313_0_20260419,0005,4,0
313_0_20260419,1928,5,0
313_0_20260419,1939,6,0
313_0_20260419,1938,7,0
313_0_20260419,1937,8,0
313_0_20260419,1936,9,0
313_0_20260419,1935,10,0
313_0_20260419,1933,11,0
313_0_20260419,1932,12,0
313_0_20260419,1931,13,0
313_0_20260419,1930,14,0
313_0_20260419,1930,15,1
313_0_20260419,1927,16,0
313_0_20260419,0004,17,0
313_0_20260419,1925,18,0
313_0_20260419,1922,19,0
313_0_20260419,1921,20,0
313_0_20260419,1920,21,0
313_0_20260419,1919,22,0
313_0_20260419,1917,23,0
313_0_20260419,0003,24,0
313_0_20260419,1916,25,0
313_0_20260419,1915,26,0
313_0_20260419,1811,27,1
4_0_20260419,4936,0,1
4_0_20260419,4935,1,0
4_0_20260419,4934,2,0
4_0_20260419,4932,3,0
4_0_20260419,4931,4,0
4_0_20260419,4930,5,0
4_0_20260419,4929,6,0
4_0_20260419,4928,7,0
4_0_20260419,4927,8,0
4_0_20260419,4926,9,0
4_0_20260419,4925,10,0
4_0_20260419,4924,11,0
4_0_20260419,4923,12,0
4_0_20260419,4922,13,0
4_0_20260419,4921,14,0
4_0_20260419,4320,15,0
4_0_20260419,4319,16,1
4_0_20260419,4918,17,0
4_0_20260419,4917,18,0
4_0_20260419,4916,19,0
4_0_20260419,4915,20,1
4_0_20260419,4914,21,0
4_0_20260419,4913,22,0
4_0_20260419,4912,23,0
4_0_20260419,4911,24,0
4_0_20260419,5502,25,1
4_0_20260419,5506,26,0
4_0_20260419,5508,27,0
4_0_20260419,5510,28,0
4_0_20260419,5513,29,0
4_0_20260419,5514,30,0
4_0_20260419,5516,31,1
4_0_20260419,6012,32,0
4_0_20260419,6013,33,0
4_0_20260419,6014,34,0
4_0_20260419,6015,35,0
4_0_20260419,6055,36,1
4_0_20260419,6019,37,0
4_0_20260419,6021,38,0
4_0_20260419,6022,39,0
4_0_20260419,6023,40,0
