from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
1006,PARA1,2,0,261__1__140__UZM__4041__1__4041__1_20260419,KPL__1__6337__RAIL__Rail_MTuWThF-XHol_20260419
8580,UPPE,2,240,112__1__134__TZM__508__2__508__2_20260419,HVL__1__3641__RAIL__Rail_MTuWThF-XHol_20260419
UPPE,8579,2,240,HVL__0__3642__RAIL__Rail_MTuWThF-XHol_20260419,112__0__137__TZM__510__1__510__1_20260419
PORI2,2003,2,0,KPL__0__6438__RAIL__Rail_SaSu_+_Hol_20260419,220__1__718__TZM__307__307_20260419
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20260419,220__1__108__TZM__302__4__302__4_20260419
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20260419,220__1__108__TZM__302__10__302__10_20260419
2001,PORI1,2,0,226__0__137__TZM__315__1__315__1_20260419,KPL__1__6317__RAIL__Rail_MTuWThF-XHol_20260419
3081,3081,2,240,19__0__733__TZM__205__205_20260419,1__1__770__TZM__203__203_20260419
1006,PARA1,2,0,261__1__162__UZM__4048__1__4048__1_20260419,KPL__1__6333__RAIL__Rail_MTuWThF-XHol_20260419
8165,WATE1,2,0,150__1__408__TZM__405__1__405__1_20260419,HVL__1__3823__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2003,2,0,KPL__0__6456__RAIL__Rail_SaSu_+_Hol_20260419,226__0__443__TZM__303__4__303__4_20260419
UPPE,8579,2,240,HVL__0__3832__RAIL__Rail_SaSu_+_Hol_20260419,110__0__425__TZM__512__512_20260419
WATE2,9165,2,0,HVL__0__3818__RAIL__Rail_SaSu_+_Hol_20260419,130__0__405__TZM__411__1__411__1_20260419
1006,PARA1,2,0,250__0__133__UZM__4049__1__4049__1_20260419,KPL__1__6329__RAIL__Rail_MTuWThF-XHol_20260419
8140,WATE1,2,0,160__1__150__TZM__612__612_20260419,HVL__1__3625__RAIL__Rail_MTuWThF-XHol_20260419
8140,WATE1,2,0,160__1__434__TZM__602__2__602__2_20260419,HVL__1__3843__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9140,2,0,HVL__0__2620__RAIL__Rail_MTuWThF-XHol_20260419,170__0__123__TZM__614__614_20260419
8580,UPPE,2,240,111__0__443__TZM__505__1__505__1_20260419,HVL__1__3851__RAIL__Rail_SaSu_+_Hol_20260419
1006,PARA1,2,0,261__1__426__UZM__705__1__705__1_20260419,KPL__1__6463__RAIL__Rail_SaSu_+_Hol_20260419
UPPE,8579,2,240,HVL__0__3632__RAIL__Rail_MTuWThF-XHol_20260419,112__0__129__TZM__508__2__508__2_20260419
WATE2,9165,2,0,HVL__0__2618__RAIL__Rail_MTuWThF-XHol_20260419,130__0__109__TZM__411__2__411__2_20260419
WATE2,9165,2,0,HVL__0__3844__RAIL__Rail_SaSu_+_Hol_20260419,145__0__417__TZM__405__1__405__1_20260419
PARA2,1005,2,0,KPL__0__6348__RAIL__Rail_MTuWThF-XHol_20260419,262__0__149__UZM__4044__1__4044__1_20260419
6733,6730,2,120,7__0__409__TZM__109__2__109__2_20260419,27__1__404__TZM__107__2__107__2_20260419
9001,PETO1,2,0,154__0__107__TZM__404__6__404__6_20260419,MEL__1__5603__RAIL__Rail_MEL_WEST_20260419
8165,WATE1,2,0,145__0__415__TZM__405__1__405__1_20260419,HVL__1__3841__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9140,2,0,HVL__0__3862__RAIL__Rail_SaSu_+_Hol_20260419,170__0__725__TZM__408__408_20260419
PORI2,2001,2,0,KPL__0__6328__RAIL__Rail_MTuWThF-XHol_20260419,220__0__177__TZM__314__314_20260419
PORI2,2001,2,0,KPL__0__8210__RAIL__Rail_MTuWThF-XHol_20260419,220__0__177__TZM__314__314_20260419
3081,3081,2,240,19__0__187__TZM__201__2__201__2_20260419,1__1__130__TZM__108__6__108__6_20260419
UPPE,8579,2,240,HVL__0__3868__RAIL__Rail_SaSu_+_Hol_20260419,110__0__751__TZM__506__506_20260419
WATE2,9165,2,0,HVL__0__3846__RAIL__Rail_SaSu_+_Hol_20260419,150__0__427__TZM__412__1__412__1_20260419
PORI2,2001,2,0,KPL__0__6428__RAIL__Rail_SaSu_+_Hol_20260419,210__0__407__TZM__306__1__306__1_20260419
8580,UPPE,2,240,110__1__420__TZM__509__509_20260419,HVL__1__3825__RAIL__Rail_SaSu_+_Hol_20260419
8580,UPPE,2,240,110__1__712__TZM__505__505_20260419,HVL__1__3825__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,220__1__724__TZM__304__304_20260419,KPL__1__6439__RAIL__Rail_SaSu_+_Hol_20260419
2001,PORI1,2,0,220__0__725__TZM__306__306_20260419,KPL__1__6439__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,220__1__432__TZM__311__311_20260419,KPL__1__6439__RAIL__Rail_SaSu_+_Hol_20260419
2001,PORI1,2,0,220__0__433__TZM__309__2__309__2_20260419,KPL__1__6439__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu_+_Hol_20260419,220__1__452__TZM__302__3__302__3_20260419
TAIT2,9251,2,0,HVL__0__4618__RAIL__Rail_MTuWThF-XHol_20260419,120__0__185__TZM__434__434_20260419
9001,PETO1,2,0,154__0__109__TZM__404__6__404__6_20260419,MEL__1__5605__RAIL__Rail_MEL_WEST_20260419
8580,UPPE,2,240,112__1__412__TZM__505__1__505__1_20260419,HVL__1__3839__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9140,2,0,HVL__0__3822__RAIL__Rail_SaSu_+_Hol_20260419,170__0__705__TZM__602__1__602__1_20260419
WATE2,8165,2,240,HVL__0__2614__RAIL__Rail_MTuWThF-XHol_20260419,149__0__103__TZM__422__422_20260419
2002,PORI1,2,0,230__1__432__TZM__307__1__307__1_20260419,KPL__1__6467__RAIL__Rail_SaSu_+_Hol_20260419
